name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Barred warbler	https://martinfrancois.github.io/bird-images/barred-warbler-hortobagy-hungary-282-281867706645329.jpg	The barred warbler (Curruca nisoria ) is a typical warbler which breeds across temperate regions of central and eastern Europe and western and central Asia. This passerine bird is strongly migratory, and winters in tropical eastern Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Bearded reedling	https://martinfrancois.github.io/bird-images/682px-skc3a4ggmes2c-fagersjc3b6viken2c-sc3b6rmland2c-february-2018-284385098551429.jpg	The bearded reedling (Panurus biarmicus ) is a small, sexually dimorphic reed-bed passerine bird. It is frequently known as the bearded tit, due to some similarities to the long-tailed tit, or the bearded parrotbill. It is the only species in the family Panuridae.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Unknown	Least concern (LC)	-
Black grouse	https://martinfrancois.github.io/bird-images/lyrurus-tetrix-lekking-sweden.jpg	The black grouse, northern black grouse, Eurasian black grouse, blackgame, or blackcock (Lyrurus tetrix ), is a large game bird in the grouse family. It is a sedentary species, spanning across the Palearctic in moorland and steppe habitat when breeding, often near wooded areas. They will spend the winter perched in dense forests, feeding almost exclusively on the needles of conifers. The black grouse is one of 2 species of grouse in the genus Lyrurus, the other being the lesser-known Caucasian grouse.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Black Kite	https://martinfrancois.github.io/bird-images/black-kite-11.jpg	The black kite (Milvus migrans ) is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations. Current global population estimates run up to 6 million individuals.	4-5.7 mln	28	0	630-940 g	55-60 cm	140-150 cm	Europe, Asia, Africa, Oceania	Carnivore,  Scavenger	Partial Migrant	15 to 56 day	Stable	Least concern (LC)	30-34 days
Black redstart	https://martinfrancois.github.io/bird-images/black-redstart-28phoenicurus-ochruros29-282459988046929.jpg	The black redstart (Phoenicurus ochruros ) is a small passerine bird in the genus Phoenicurus. Like its relatives, it was formerly classed as a member of the thrush family (Turdidae), but is now known to be an Old World flycatcher (Muscicapidae). Obsolete common names include Tithys redstart, blackstart (not to be confused with the species currently known as blackstart) and black redtail.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Black stork	https://martinfrancois.github.io/bird-images/kara-leylek.jpg	The black stork (Ciconia nigra ) is a large bird in the stork family Ciconiidae. It was first described by Carl Linnaeus in the 10th edition of his Systema Naturae. Measuring on average 95 to 100�cm (37 to 39�in) from beak tip to end of tail with a 145-to-155�cm (57-to-61�in) wingspan, the adult black stork has mainly black plumage, with white underparts, long red legs and a long pointed red beak. A widespread but uncommon species, it breeds in scattered locations across Europe (predominantly in Portugal and Spain, and central and eastern parts), and east across the Palearctic to the Pacific Ocean. It is a long-distance migrant, with European populations wintering in tropical Sub-Saharan Africa, and Asian populations in the Indian subcontinent. When migrating between Europe and Africa, it avoids crossing the Mediterranean Sea and detours via the Levant in the east or the Strait of Gibraltar in the west. An isolated, non-migratory, population occurs in Southern Africa.	Unknown	0	0	3000 g	95-100 cm	144-155 cm	Europe, Asia, Africa	Carnivore,  Piscivores	Migrating	-	Unknown	Least concern (LC)	-
Black Tern	https://martinfrancois.github.io/bird-images/black-tern-13.jpg	The black tern (Chlidonias niger ) is a small tern generally found in or near inland water in Europe, Western Asia and North America. As its name suggests, it has predominantly dark plumage. In some lights it can appear blue in the breeding season, hence the old English name ""blue darr"". The genus name is from Ancient Greek khelidonios, ""swallow-like"", from khelidon, ""swallow"": another old English name for the black tern is ""carr (i.e. lake) swallow"". The species name is from Latin niger ""shining black"".	Unknown	17	0	60-74 g	23-28 cm	57-65 cm	Europe, Africa, North America, South America, Asia	Carnivore	Migrating	23 days	Decreasing	Least concern (LC)	19-23 days
Black woodpecker	https://martinfrancois.github.io/bird-images/black-woodpecker2c-dryocopus-martius.jpg	The black woodpecker (Dryocopus martius ) is a large woodpecker that lives in mature forests across the northern Palearctic. It is the sole representative of its genus in that region. Its range is expanding. It does not migrate. This species is closely related to, and fills the same ecological niche in Europe as, the pileated woodpecker of North America and the lineated woodpecker of South America.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Increasing	Least concern (LC)	-
Black-Crowned Night Heron	https://martinfrancois.github.io/bird-images/1200px-martinete-118472471jpeg.jpg	The black-crowned night heron (Nycticorax nycticorax ), or black-capped night heron, commonly shortened to just night heron in Eurasia, is a medium-sized heron found throughout a large part of the world, including parts of Europe, Asia, and North and South America. In Australasia it is replaced by the closely related nankeen night heron, with which it has hybridized in the area of contact.	570,000-3,7M	30	55	800 g	56-65 cm	-	Asia, Europe, Africa, North America, South America, Oceania	Carnivore,  Piscivores	Migrating	6-7 weeks	Decreasing	Least concern (LC)	21-22 days
Black-Headed Gull	https://martinfrancois.github.io/bird-images/skrattms-black-headed-gull-7.jpg	The black-headed gull  (Chroicocephalus ridibundus ) is a small gull that breeds in much of the Palearctic including Europe and also in coastal eastern Canada. Most of the population is migratory and winters further south, but some birds reside in the milder westernmost areas of Europe. Small numbers also occur in northeastern North America, where it was formerly known as the common black-headed gull. As is the case with many gulls, it was previously placed in the genus Larus.	4.8-8.9 mln	32	0	190-400 g	38-44 cm	94-105 cm	North America, Europe, Asia, Africa, Oceania, South America	Omnivore,  Scavenger	Partial Migrant, Migrating	35 days	-	Least concern (LC)	22-26 days
Black-headed penduline tit	https://martinfrancois.github.io/bird-images/remiz-macronyx-28severtzov2c-187329.jpg	The black-headed penduline tit (Remiz macronyx ) is a species of bird in the family Remizidae.It is found in  Central Asia.	Unknown	0	0	-	-	-	-	-	Migrating	-	Increasing	Least concern (LC)	-
Black-legged kittiwake	https://martinfrancois.github.io/bird-images/black-legged-kittiwake-28rissa-tridactyla29-cape-st-mary27s-ecological-reserve2c-newfoundland-2019-08-10-280229.jpg	The black-legged kittiwake (Rissa tridactyla ) is a seabird species in the gull family Laridae.	Unknown	25.5	0	317 g	-	-	North America, Europe, Asia, Africa	-	Migrating	-	Decreasing	Vulnerable (VU)	-
Black-necked grebe	https://martinfrancois.github.io/bird-images/2560px-eared-grebe-281495239698729.jpg	The black-necked grebe or eared grebe (Podiceps nigricollis ) is a member of the grebe family of water birds. It was described in 1831 by Christian Ludwig Brehm. There are currently three accepted subspecies, including the nominate subspecies. Its breeding plumage features a distinctive ochre-coloured plumage which extends behind its eye and over its ear coverts. The rest of the upper parts, including the head, neck, and breast, are coloured black to blackish brown. The flanks are tawny rufous to maroon-chestnut, and the abdomen is white. When in its non-breeding plumage, this bird has greyish-black upper parts, including the top of the head and a vertical stripe on the back of the neck. The flanks are also greyish-black. The rest of the body is a white or whitish colour. The juvenile has more brown in its darker areas. The subspecies californicus can be distinguished from the nominate by the former's usually longer bill. The other subspecies, P. n. gurneyi, can be differentiated by its greyer head and upper parts and by its smaller size. P. n. gurneyi can also be told apart by its lack of a non-breeding plumage. This species is present in parts of Africa, Eurasia, and the Americas.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Black-tailed godwit	https://martinfrancois.github.io/bird-images/ballerina.jpg	The black-tailed godwit (Limosa limosa ) is a large, long-legged, long-billed shorebird first described by Carl Linnaeus in 1758. It is a member of the godwit genus, Limosa. There are four subspecies, all with orange head, neck and chest in breeding plumage and dull grey-brown winter coloration, and distinctive black and white wingbar at all times.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Black-throated loon	https://martinfrancois.github.io/bird-images/black-throated-diver2c-oulu2c-finland-02-281519537079829.jpg	The black-throated loon (Gavia arctica ), also known as the Arctic loon and the black-throated diver, is a migratory aquatic bird found in the northern hemisphere, primarily breeding in freshwater lakes in northern Europe and Asia. It winters along sheltered, ice-free coasts of the north-east Atlantic Ocean and the eastern and western Pacific Ocean. This loon was first described by Carl Linnaeus in 1758. It has two subspecies. It was previously considered to be the same species as the Pacific loon, of which it is traditionally considered to be a sister species, although this is debated. In a study that used mitochondrial and nuclear intron DNA, the black-throated loon was found to be sister to a clade consisting of the Pacific loon and two sister species, the common loon and the yellow-billed loon.	Unknown	0	0	2-3.4 kg	40-81 cm	114-124 cm	Europe, Asia, North America	Carnivore,  Piscivores	Migrating	-	Decreasing	Least concern (LC)	-
Black-winged stilt	https://martinfrancois.github.io/bird-images/2560px-black-winged-stilts-in-flight-283225590167729.jpg	The black-winged stilt (Himantopus himantopus ) is a widely distributed very long-legged wader in the avocet and stilt family (Recurvirostridae). The scientific name H. himantopus was formerly applied to a single, almost cosmopolitan species. It is now normally applied to the form that is widespread in Eurosiberia and Africa and which was formerly regarded as the nominate subspecies of Himantopus himantopus sensu lato. The scientific name Himantopus comes from the Greek meaning ""strap foot"" or ""thong foot"". Most sources today accept 2�4 species. It is sometimes called pied stilt, but that name is now reserved for the Australian species, Himantopus leucocephalus.	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Blue rock thrush	https://martinfrancois.github.io/bird-images/blue-rock-thrush2c-delphi2c-greece-28229.jpg	The blue rock thrush (Monticola solitarius ) is a species of chat. This thrush-like Old World flycatcher was formerly placed in the family Turdidae. It breeds in southern Europe, northwest Africa, and from Central Asia to northern China and Malaysia. The blue rock thrush is the official national bird of Malta and was shown on the Lm 1 coins that were part of the country's former currency.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Bluethroat	https://martinfrancois.github.io/bird-images/blaukehlchen2c-weic39fsternig2c-im-schilf.jpg	The bluethroat (Luscinia svecica ) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher, Muscicapidae. It, and similar small European species, are often called chats.	Unknown	0	0	-	-	-	Europe, North America, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Bohemian Waxwing	https://martinfrancois.github.io/bird-images/bombycilla-garrulus-thats-latin-.jpg	The Bohemian waxwing (Bombycilla garrulus ) is a starling-sized passerine bird that breeds in the northern forests of the Palearctic and North America. It has mainly buff-grey plumage, black face markings and a pointed crest. Its wings are patterned with white and bright yellow, and some feather tips have the red waxy appearance that give this species its English name. The three subspecies show only minor differences in appearance. Females are similar to males, although young birds are less well-marked and have few or no waxy wingtips. Although the Bohemian waxwing's range overlaps those of the cedar and Japanese waxwings, it is easily distinguished from them by size and plumage differences.	14.4-28.1 M	13	0	55 g	19-23 cm	32-35.5 cm	Europe, Asia, North America	Herbivore,  Frugivore,  Carnivore,  Insectivores	Migrating	28-30 days	Increasing	Least concern (LC)	13-14 days
Boreal Owl	https://martinfrancois.github.io/bird-images/boreal-owl-3.jpg	The boreal owl or Tengmalm's owl (Aegolius funereus ) is a small owl in the ""true owl"" family Strigidae. It is known as the boreal owl in North America and as Tengmalm's owl in Europe after Swedish naturalist Peter Gustaf Tengmalm or, more rarely, Richardson's owl after Sir John Richardson.	700,000-2.4M	8	0	93-215 g	22-27 cm	50-62 cm	North America, Europe, Asia	Carnivore	Partial Migrant	8-10 weeks	Stable	Least concern (LC)	26-32 days
Brambling	https://martinfrancois.github.io/bird-images/2560px-bergfink-img-6169.jpg	The brambling (Fringilla montifringilla ) is a small passerine bird in the finch family Fringillidae. It has also been called the cock o' the north and the mountain finch. It is widespread and migratory, often seen in very large flocks.	Unknown	0	0	21 g	14-16 cm	-	Europe, Asia, Africa	Omnivore	Migrating	-	Decreasing	Least concern (LC)	-
Carrion Crow	https://martinfrancois.github.io/bird-images/1200px-carrion-crow-in-jerseyjpg.jpg	The carrion crow (Corvus corone ) is a passerine bird of the family Corvidae and the genus Corvus which is native to western Europe and the eastern Palearctic.	58.7-111 mln	29	0	400-600 g	48-52 cm	84-100 cm	Europe, Asia, Africa	Scavenger,  Omnivore	Partial Migrant	-	Increasing	Least concern (LC)	18-20 days
Caspian tern	https://martinfrancois.github.io/bird-images/caspian-tern-amsm7317.jpg	The Caspian tern (Hydroprogne caspia ) is a species of tern, with a subcosmopolitan but scattered distribution. Despite its extensive range, it is monotypic of its genus, and has no accepted subspecies. The genus name is from Ancient Greek hudros, ""water"", and Latin progne, ""swallow"". The specific caspia is from Latin and, like the English name, refers to the Caspian Sea.	Unknown	0	0	530-782 g	47-54 cm	-	North America, Europe, Asia, South America, Africa	Carnivore,  Piscivores	Partial Migrant	-	Increasing	Least concern (LC)	-
Cattle Egret	https://martinfrancois.github.io/bird-images/birds-cattle-egret-by-jesus-moreno.jpg	The cattle egret (Bubulcus ibis ) is a cosmopolitan species of heron (family Ardeidae) found in the tropics, subtropics, and warm-temperate zones. It is the only member of the monotypic genus Bubulcus, although some authorities regard its two subspecies as full species, the western cattle egret and the eastern cattle egret. Despite the similarities in plumage to the egrets of the genus Egretta, it is more closely related to the herons of Ardea. Originally native to parts of Asia, Africa, and Europe, it has undergone a rapid expansion in its distribution and successfully colonised much of the rest of the world in the last century.	4-9.8 Mln	23	51	270-512 g	46-56 cm	88-96 cm	Africa, North America, South America, Asia, Oceania, Europe	Insectivores	Migrating	6-7 weeks	Increasing	Least concern (LC)	24 days
Cetti's warbler	https://martinfrancois.github.io/bird-images/37-090505-cettis-warbler-at-kalloni-east-river.jpg	Cetti's warbler (Cettia cetti ) is a small, brown bush-warbler which breeds in southern and central Europe, northwest Africa and the east Palearctic as far as Afghanistan and northwest Pakistan. The sexes are alike. The bird is named after the 18th century Italian zoologist, Francesco Cetti. This species is very difficult to see because of its skulking habits.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Cirl bunting	https://martinfrancois.github.io/bird-images/cirl-bunting-edited.jpg	The cirl bunting ( SURL), Emberiza cirlus, is a passerine bird in the bunting family Emberizidae, a group now separated by most modern authors from the finches, Fringillidae.	Unknown	0	0	-	-	-	Europe, Africa, Asia	-	Not a migrant	-	Increasing	Least concern (LC)	-
Citril finch	https://martinfrancois.github.io/bird-images/citril-finch-aosta-valley-italy-h8o8036-282305118259129.jpg	The citril finch (Carduelis citrinella ), also known as the Alpine citril finch, is a small songbird, a member of the true finch family, Fringillidae. For a long time, this cardueline finch was placed in the genus Serinus, but it is apparently very closely related to the European goldfinch (C. carduelis ).	Unknown	0	0	-	-	-	-	-	Partial Migrant	-	Decreasing	Least concern (LC)	-
Citrine wagtail	https://martinfrancois.github.io/bird-images/citrine-wagtail-28motacilla-citreola29-283433787159029.jpg	The citrine wagtail (Motacilla citreola ) is a small songbird in the family Motacillidae.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Coal Tit	https://martinfrancois.github.io/bird-images/coal-tit-cincia-mora-val-daosta-italy-s4e4594-16948185360jpg.jpg	The coal tit or cole tit, (Periparus ater ), is a small passerine bird in the tit family, Paridae. It is a widespread and common resident breeder in forests throughout the temperate to subtropical Palearctic, including North Africa. The black-crested tit is now usually included in this species.	90-165 mln	4	0	8-10 g	10-11.5 cm	17-21 cm	Europe, Asia, Africa	Herbivore,  Granivore,  Carnivore,  Insectivores	Partial Migrant, Not a migrant	-	Decreasing	Least concern (LC)	14-16 days
Collared flycatcher	https://martinfrancois.github.io/bird-images/2560px-img-d189d189d189.jpg	The collared flycatcher (Ficedula albicollis ) is a small passerine bird in the Old World flycatcher family, one of the four species of Western Palearctic black-and-white flycatchers. It breeds in southeast Europe (isolated populations are present in the islands of Gotland and �land in the Baltic Sea, Sweden) and Eastern France to the Balkan Peninsula and Ukraine and is migratory, wintering in sub Sahara Africa. It is a rare vagrant in western Europe.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Common Blackbird	https://martinfrancois.github.io/bird-images/1679px-melro-preto-macho-common-blackbird-male-52660674010jpg.jpg	The Common blackbird (Turdus merula) is a species of true thrush. It is also called the Eurasian blackbird (especially in North America, to distinguish it from the unrelated New World blackbirds), or simply the blackbird where this does not lead to confusion with a similar-looking local species. This common and conspicuous species has given rise to a number of literary and cultural references, frequently related to its song.	162-492 Mln	21	0	80-125 g	23.5-29 cm	34-38 cm	Asia, Europe, Africa, North America, Oceania	Omnivore	Partial Migrant	4-5 weeks	Increasing	Least concern (LC)	12-14 days
Common Buzzard	https://martinfrancois.github.io/bird-images/1199px-yastrub-vzimkujpg.jpg	The Common buzzard (Buteo buteo) is a medium-to-large bird of prey which has a large range. It is an opportunistic predator that can take a wide variety of prey, but it feeds mostly on small mammals. The Common buzzard appears to be the most common diurnal raptor in Europe, as estimates of its total global population run well into the millions.	2,1-3,7 Mln	25	40	427-1,364 g	40-58 cm	109-136 cm	Asia, Europe, Africa	Carnivore	Partial Migrant	14-16 weeks	Stable	Least concern (LC)	33-38 days
Common Chaffinch	https://martinfrancois.github.io/bird-images/42VeCesnWyMwjtXOv7Lc.jpg	The Common chaffinch (Fringilla coelebs) is a common and widespread small passerine bird in the finch family. The English name of this species comes from the Old English �ceaffinc�, where ceaf is �chaff� and finc �finch�. Chaffinches were likely given this name because after farmers thresh their crops, these birds sometimes spend weeks picking through heaps of discarded chaff for grain.	530-767 mln	15	0	18-29 g	14.5 cm	24.5-28.5 cm	Europe, Asia, Africa	Herbivore,  Carnivore,  Insectivores	Partial Migrant	32-39 days	Increasing	Least concern (LC)	10-16 days
Common Chiffchaff	https://martinfrancois.github.io/bird-images/1620px-chiffchaff-phylloscopus-collybitajpg.jpg	The common chiffchaff (Phylloscopus collybita ), or simply the chiffchaff, is a common and widespread leaf warbler which breeds in open woodlands throughout northern and temperate Europe and the Palearctic.	10-500 mln	8	0	6-8 g	10-12 cm	-	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	5-6 weeks	Increasing	Least concern (LC)	13-14 days
Common Crane	https://martinfrancois.github.io/bird-images/common-cranesjpg.jpg	The common crane (Grus grus ), also known as the Eurasian crane, is a bird of the family Gruidae, the cranes. A medium-sized species, it is the only crane commonly found in Europe besides the demoiselle crane (Grus virgo ). Along with the sandhill (Antigone canadensis ) and demoiselle cranes and the brolga (Antigone rubicunda ), it is one of only four crane species not currently classified as threatened with extinction or conservation dependent on the species level. Despite the species' large numbers, local extinctions and extirpations have taken place in part of its range, and an ongoing reintroduction project is underway in the United Kingdom.	490-505 thou	40	0	3-6 kg	100-130 cm	180-240 cm	Europe, Asia, Africa	Omnivore	Migrating	-	Increasing	Least concern (LC)	30 days
Common Cuckoo	https://martinfrancois.github.io/bird-images/XRY2lJeM7OuVDn4HFNOd.jpg	The Common cuckoo (Cuculus canorus) is a member of the cuckoo order of birds, Cuculiformes, which includes the roadrunners, the anis, and the coucals. It is a brood parasite, which means it lays eggs in the nests of other bird species, particularly of dunnocks, Meadow pipits, and Reed warblers. Although its eggs are larger than those of its hosts, the eggs in each type of host nest resemble the host's eggs. The adult too is a mimic, in its case of the sparrowhawk; since that species is a predator, the mimicry gives the female time to lay her eggs without being attacked.	40-74.9 mln	10	0	111 g	32-34 cm	55-60 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Migrating	2-3 weeks	Decreasing	Least concern (LC)	11-13 days
Common Eider	https://martinfrancois.github.io/bird-images/1620px-common-eider-somateria-mollissima-13668031204jpg.jpg	The Common eider is a large sea-duck that is distributed over the northern coasts of Europe, North America and eastern Siberia.	3.3-4 mln	20	113	0.8-3 kg	50-71 cm	80-110 cm	North America, Europe, Asia	Carnivore,  Molluscivore	Migrating	60 days	Unknown	Near Threatened (NT)	21-24 eggs
Common firecrest	https://martinfrancois.github.io/bird-images/2560px-regulus-ignicapilla-galicia2c-spain-singing-in-a-conifer-tree-8-28129.jpg	The common firecrest (Regulus ignicapilla ), also known as the firecrest, is a very small passerine bird in the kinglet family. It breeds in most of temperate Europe and northwestern Africa, and is partially migratory, with birds from central Europe wintering to the south and west of their breeding range. Firecrests in the Balearic Islands and north Africa are widely recognised as a separate subspecies, but the population on Madeira, previously also treated as a subspecies, is now treated as a distinct species, the Madeira firecrest, Regulus madeirensis. A fossil ancestor of the firecrest has been identified from a single wing bone.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Common goldeneye	https://martinfrancois.github.io/bird-images/bucephala-clangula2c-isobel-lake2c-kamloops2c-bc-281802157410829.jpg	The common goldeneye or simply goldeneye (Bucephala clangula ) is a medium-sized sea duck of the genus Bucephala, the goldeneyes. Its closest relative is the similar Barrow's goldeneye. The genus name is derived from the Ancient Greek boukephalos (""bullheaded"", from bous, ""bull "" and kephale, ""head""), a reference to the bulbous head shape of the bufflehead. The species name is derived from the Latin clangere (""to resound"").	Unknown	0	0	800-1000 g	40-51 cm	-	North America, Europe, Asia	Carnivore,  Insectivores,  Molluscivore	Migrating	-	Stable	Least concern (LC)	-
Common grasshopper warbler	https://martinfrancois.github.io/bird-images/1280px-sprinkhaanrietzanger-283593419756529.jpg	The common grasshopper warbler (Locustella naevia ) is a species of Old World warbler in the grass warbler genus Locustella. It breeds across much of temperate Europe and the western Palearctic. It is migratory, wintering in north and west Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Common greenshank	https://martinfrancois.github.io/bird-images/common-greenshank-28tringa-nebularia29-284386651857129.jpg	The common greenshank (Tringa nebularia ) is a wader in the large family Scolopacidae, the typical waders. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific nebularia is from Latin nebula ""mist"". Like the Norwegian Skoddefoll, this refers to the greenshank's damp marshy habitat.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
